Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1782846629,213979292,58,0,0,0,0.00,11.58
1782846630,214015238,59,0,0,0,0.00,12.50
1782846631,213992185,55,0,0,0,0.00,14.29
1782846632,214660128,42,0,0,0,0.10,8.33
1782846633,214010077,50,1,1,0,0.00,14.00
1782846634,214005023,74,0,0,0,0.00,14.74
1782846635,213977969,56,1,1,0,0.00,14.85
1782846636,213984914,61,0,0,0,0.00,17.00
1782846637,214024860,43,0,0,0,0.00,11.88
1782846638,214703802,67,0,0,0,0.10,17.35
1782846639,214018751,57,0,0,0,0.00,17.48
1782846640,214007696,52,0,0,0,0.00,14.85
1782846641,214023641,40,0,0,0,0.00,10.20
1782846642,213989586,65,1,1,0,0.00,11.58
1782846643,214437529,39,0,0,0,0.00,11.88
1782846644,214020475,57,0,0,0,0.00,12.50
1782846645,214000420,42,0,0,0,0.00,9.28
1782846646,213986365,48,0,0,0,0.00,14.71
1782846647,214018309,39,0,0,0,0.00,8.25
1782846648,214021253,36,0,0,0,0.00,6.32
1782846649,213985197,60,0,0,0,0.00,15.31
1782846650,213989141,52,0,1,0,0.00,12.37
1782846651,213995085,51,1,1,0,0.00,12.24
1782846652,214040029,44,0,0,0,0.00,9.28
1782846653,214019973,52,0,0,0,0.00,13.00
1782846654,214000916,48,0,0,0,0.00,12.24
1782846655,214021860,45,0,1,0,0.00,12.87
1782846656,213991803,40,0,0,0,0.00,11.88
1782846657,214010746,48,1,1,0,0.00,15.53
1782846658,214009689,40,1,1,0,0.00,11.22
1782846659,214288631,52,1,1,0,0.00,13.27
1782846660,213999575,54,1,1,0,0.00,14.14
1782846661,213996518,61,1,0,0,0.00,28.87
1782846662,213998461,31,0,0,0,0.00,5.26
1782846663,214018403,33,0,0,0,0.00,7.14
1782846664,213999345,38,0,0,0,0.00,11.88
1782846665,214000288,50,1,1,0,0.00,12.37
1782846666,213993230,48,0,0,0,0.00,9.38
1782846667,213981172,81,0,0,0,0.00,19.80
1782846668,213987114,77,0,0,0,0.00,19.39
1782846669,213997056,65,3,3,0,0.00,12.77
1782846670,214012997,49,0,0,0,0.00,17.31
1782846671,214009939,35,0,0,0,0.00,11.88
1782846672,214608878,48,0,0,0,0.00,7.37
1782846673,214013822,35,0,0,0,0.00,9.09
1782846674,213995763,46,0,1,0,0.00,8.51
1782846675,214003704,56,1,1,0,0.00,18.45
1782846676,213990645,41,0,0,0,0.00,9.18
1782846677,214000586,44,0,0,0,0.00,9.28
1782846678,214008527,41,1,2,0,0.00,7.37
1782846679,214025468,62,3,2,0,0.00,13.54
1782846680,213999409,34,1,1,0,0.00,7.22
1782846681,216314337,58,1,1,0,0.10,13.40
1782846682,214588286,54,0,0,0,0.00,13.27
1782846683,214012230,43,1,0,0,0.00,12.00
1782846684,213992170,46,0,0,0,0.00,12.00
1782846685,213997110,54,0,0,0,0.00,12.24
1782846686,213988050,57,0,0,0,0.00,15.00
1782846687,213987990,42,0,0,0,0.00,10.20
1782846688,214001929,59,0,0,0,0.00,18.27
1782846689,213995869,36,0,0,0,0.00,8.16
1782846690,213993808,40,1,1,0,0.00,9.28
1782846691,214002748,43,1,1,0,0.00,9.28
1782846692,213990687,57,1,0,0,0.00,14.29
1782846693,214302625,62,1,1,0,0.10,14.43
1782846694,215410558,53,1,1,0,0.10,18.10
1782846695,214036504,45,0,0,0,0.00,11.22
1782846696,213993443,43,1,2,0,0.00,14.71
1782846697,213986382,58,0,0,0,0.00,12.37
1782846698,214017321,56,0,0,0,0.00,15.84
1782846699,214437257,42,0,0,0,0.10,6.38
1782846700,213981198,52,0,0,0,0.00,17.31
1782846701,214009136,53,0,0,0,0.00,15.69
1782846702,214007074,40,0,0,0,0.00,11.11
1782846703,213993012,55,0,0,0,0.00,12.37
1782846704,213991950,43,1,1,0,0.00,11.22
1782846705,214174887,65,0,0,0,0.00,12.63
1782846706,213995826,43,1,0,0,0.00,10.20
1782846707,213986764,55,0,0,0,0.00,16.67
1782846708,213996701,46,0,0,0,0.00,11.11
1782846709,214584636,44,1,1,0,0.00,10.20
1782846710,214398574,44,1,1,0,0.00,13.86
1782846711,214016513,15,0,0,0,0.00,3.06
1782846712,213988451,51,0,0,0,0.00,14.71
1782846713,214709384,61,1,1,0,0.10,12.50
1782846714,213984325,70,0,0,0,0.00,23.58
1782846715,214011261,81,0,0,0,0.00,19.79
1782846716,214001198,87,0,0,0,0.00,24.49
1782846717,214351133,84,2,2,0,0.00,19.15
1782846718,214007071,74,0,0,0,0.00,18.75
1782846719,213995008,45,0,0,0,0.00,9.38
1782846720,214003944,48,0,0,0,0.00,12.12
1782846721,213985880,45,0,2,0,0.00,28.28
1782846722,213996816,48,1,2,0,0.00,16.50
1782846723,214004752,34,0,1,0,0.00,8.16
1782846724,214021688,43,3,3,0,0.00,14.71
1782846725,214572621,48,0,1,0,0.00,9.38
1782846726,214020560,53,1,2,0,0.00,19.05
1782846727,213991496,60,1,1,0,0.00,11.70
1782846728,214005431,73,0,0,0,0.00,12.77
1782846729,214783363,53,0,0,0,0.00,13.27
1782846730,213989302,58,0,1,0,0.00,19.23
1782846731,214022237,60,0,0,0,0.00,18.45
1782846732,214020172,69,0,0,0,0.00,21.90
1782846733,214760103,55,0,0,0,0.10,13.68
1782846734,213991042,49,0,0,0,0.00,13.13
1782846735,213996977,59,0,0,0,0.00,11.34
1782846736,214011912,32,0,0,0,0.00,8.16
1782846737,214506844,47,2,2,0,0.00,14.00
1782846738,213991781,53,0,1,0,0.00,15.69
1782846739,213991715,40,0,0,0,0.00,13.73
1782846740,213998650,50,0,1,0,0.00,15.69
1782846741,214705580,53,1,1,0,0.00,15.15
1782846742,213999518,53,0,0,0,0.00,15.84
1782846743,213980452,55,0,0,0,0.00,10.42
1782846744,214001386,46,0,0,0,0.00,11.22
1782846745,213986320,45,0,0,0,0.00,12.12
1782846746,214019253,45,0,0,0,0.00,12.00
1782846747,214006187,49,0,0,0,0.00,12.37
1782846748,213995121,32,0,0,0,0.00,10.78
1782846749,213986054,47,1,1,0,0.00,13.00
1782846750,213980988,49,0,0,0,0.00,11.34
1782846751,214006921,68,1,1,0,0.00,18.81
1782846752,214004854,59,0,0,0,0.00,17.00
1782846753,214108786,46,0,1,0,0.00,10.31
1782846754,214006720,55,0,0,0,0.00,9.47
1782846755,214000653,50,0,0,0,0.00,14.00
1782846756,213997586,42,0,0,0,0.00,11.11
1782846757,213999518,53,1,1,0,0.00,14.85
1782846758,214018451,61,1,1,0,0.00,16.83
1782846759,213997383,53,0,0,0,0.00,12.24
1782846760,214008316,58,0,0,0,0.00,16.83
1782846761,214010248,42,0,0,0,0.00,6.45
1782846762,214000180,36,1,1,0,0.00,10.89
1782846763,214019112,47,0,0,0,0.00,11.22
1782846764,213997045,54,2,2,0,0.00,16.00
1782846765,214017976,51,0,0,0,0.00,14.14
1782846766,214016908,53,0,0,0,0.00,11.22
1782846767,213980840,63,0,0,0,0.00,15.15
1782846768,214018772,58,1,1,0,0.00,12.63
1782846769,214304702,43,0,0,0,0.00,13.59
1782846770,213984635,59,0,0,0,0.00,14.43
1782846771,213989566,47,0,0,0,0.00,17.14
1782846772,213987497,50,0,0,0,0.00,14.85
1782846773,213980429,60,0,0,0,0.00,17.00
1782846774,213984360,41,1,2,0,0.00,10.20
1782846775,214005291,53,1,1,0,0.00,14.85
1782846776,214020221,47,0,0,0,0.00,10.31
1782846777,214005152,51,0,0,0,0.00,11.34
1782846778,214002083,56,0,0,0,0.00,11.46
1782846779,214018014,49,0,0,0,0.00,11.22
1782846780,213986944,35,0,1,0,0.00,12.75
1782846781,213986875,49,0,0,0,0.00,29.00
1782846782,214010805,44,1,1,0,0.00,8.33
1782846783,214435733,33,1,1,0,0.10,8.33
1782846784,213994665,67,2,2,0,0.00,15.46
1782846785,214001596,31,1,1,0,0.00,45.45
1782846786,213981526,44,0,0,0,0.00,11.11
1782846787,214006455,49,1,1,0,0.00,17.31
1782846788,213986385,50,0,0,0,0.00,15.69
1782846789,213993315,51,1,1,0,0.00,17.48
1782846790,214010245,52,1,1,0,0.00,9.47
1782846791,214001174,61,1,1,0,0.00,14.43
1782846792,214395102,60,0,0,0,0.00,15.84
1782846793,213997033,61,1,1,0,0.00,15.15
1782846794,214680959,55,0,1,0,0.00,20.75
1782846795,213967892,50,2,2,0,0.00,21.36
1782846796,213997821,49,0,0,0,0.00,13.86
1782846797,214051749,39,1,1,0,0.00,14.42
1782846798,213989679,55,2,0,0,0.00,16.00
1782846799,213981608,66,0,1,0,0.00,9.78
1782846800,213988536,57,3,3,0,0.00,15.31
1782846801,213983465,60,0,0,0,0.00,15.00
1782846802,214007393,48,0,0,0,0.00,8.60
1782846803,213990322,68,0,0,0,0.00,17.17
1782846804,213983250,60,1,0,0,0.00,16.83
1782846805,213987179,49,1,2,0,0.00,14.85
1782846806,214190106,47,0,0,0,0.00,12.24
1782846807,213980035,57,0,0,0,0.00,17.48
1782846808,213988963,65,0,0,0,0.00,14.29
1782846809,214003891,65,1,1,0,0.00,17.17
1782846810,214025819,50,0,0,0,0.10,12.24
1782846811,214005747,51,0,0,0,0.00,17.14
1782846812,213991675,41,0,0,0,0.00,13.00
1782846813,214009602,47,0,0,0,0.00,15.38
1782846814,213992530,65,1,1,0,0.00,13.68
1782846815,214002457,57,1,2,0,0.00,15.84
1782846816,213994385,40,0,0,0,0.00,12.75
1782846817,213997312,49,1,0,0,0.00,10.42
1782846818,214009239,40,0,0,0,0.00,13.73
1782846819,214011166,56,1,1,0,0.00,15.00
1782846820,214000093,40,0,0,0,0.00,12.75
1782846821,214002020,49,0,0,0,0.00,9.47
1782846822,214018947,42,0,1,0,0.00,9.18
1782846823,214004874,61,1,1,0,0.00,12.50
1782846824,213987801,47,0,0,0,0.00,13.13
1782846825,213982727,51,0,0,0,0.00,11.22
1782846826,214018654,43,1,0,0,0.00,12.87
1782846827,214016580,47,0,0,0,0.00,13.00
1782846828,214009506,44,1,1,0,0.00,11.11
1782846829,214008433,37,0,0,0,0.00,8.25
1782846830,214003359,48,1,1,0,0.00,16.50
1782846831,213988285,51,0,0,0,0.00,9.47
1782846832,213997211,49,0,0,0,0.00,17.92
1782846833,214035137,39,1,1,0,0.00,12.75
1782846834,214274062,57,0,0,0,0.00,16.00
1782846835,214091988,43,0,0,0,0.00,4.35
1782846836,213998914,37,0,0,0,0.00,10.00
1782846837,213997840,50,1,1,0,0.00,15.69
1782846838,213992766,48,0,0,0,0.00,11.11
1782846839,214006691,50,1,1,0,0.00,18.27
1782846840,214021616,51,1,2,0,0.00,18.10
1782846841,213975542,42,0,2,0,0.00,24.47
1782846842,213992467,40,2,2,0,0.00,9.18
1782846843,213987392,25,0,0,0,0.00,8.00
1782846844,213994317,41,0,0,0,0.00,12.75
1782846845,213997242,41,0,0,0,0.00,7.29
1782846846,213990167,40,0,0,0,0.00,10.20
1782846847,213980092,64,0,0,0,0.00,12.63
1782846848,214009017,61,0,0,0,0.00,13.54
1782846849,214004941,59,0,1,0,0.00,16.00
1782846850,213980866,64,1,1,0,0.00,18.45
1782846851,214006790,63,0,0,0,0.00,14.29
1782846852,214012715,56,1,1,0,0.00,14.29
1782846853,214575636,45,0,0,0,0.00,10.31
1782846854,213982564,58,0,0,0,0.00,11.58
1782846855,213992488,53,0,0,0,0.00,13.13
1782846856,213999412,61,0,0,0,0.00,19.23
1782846857,214006336,54,1,0,0,0.00,10.53
1782846858,213989260,45,1,1,0,0.00,9.38
1782846859,213995184,52,0,0,0,0.00,15.69
1782846860,214007107,44,1,1,0,0.00,13.86
1782846861,214019031,40,1,1,0,0.00,7.37
1782846862,213988955,51,0,0,0,0.00,10.42
1782846863,214017878,46,0,0,0,0.00,8.42
1782846864,213989802,61,0,0,0,0.00,12.63
1782846865,214021725,74,1,1,0,0.00,22.86
1782846866,213991649,43,0,0,0,0.00,10.31
1782846867,213988572,54,1,0,0,0.00,13.27
1782846868,214234494,50,2,0,0,0.00,15.69
1782846869,213994418,48,1,2,0,0.00,12.12
1782846870,213995341,44,0,0,0,0.00,11.22
1782846871,213986264,52,0,0,0,0.00,13.27
1782846872,214067187,43,1,0,0,0.00,8.42
1782846873,214507107,54,0,0,0,0.00,12.24
1782846874,214018032,43,0,0,0,0.00,13.59
1782846875,214379953,51,0,0,0,0.10,11.34
1782846876,213996878,55,0,0,0,0.00,10.53
1782846877,213990800,52,1,1,0,0.00,6.59
1782846878,214023722,44,0,0,0,0.00,13.00
1782846879,213984645,70,0,0,0,0.00,18.81
1782846880,214016567,53,1,1,0,0.00,16.00
1782846881,214012489,46,0,0,0,0.00,17.14
1782846882,214013411,51,0,0,0,0.00,13.00
1782846883,213994334,39,0,0,0,0.00,15.38
1782846884,214001256,52,1,1,0,0.00,13.27
1782846885,213990177,52,0,0,0,0.00,13.86
1782846886,213989099,49,0,0,0,0.00,8.42
1782846887,214013021,38,1,0,0,0.00,7.29
1782846888,214003943,41,0,0,0,0.00,11.11
1782846889,214018864,36,0,0,0,0.00,12.62
1782846890,213994786,42,1,1,0,0.00,10.42
1782846891,213980707,35,0,0,0,0.00,10.00
1782846892,214005629,61,1,1,0,0.00,14.29
1782846893,213995550,41,0,0,0,0.00,12.87
1782846894,213994471,38,0,0,0,0.00,8.25
1782846895,214043392,47,0,0,0,0.00,15.00
1782846896,214003313,63,0,0,0,0.00,17.82
1782846897,213993234,50,2,2,0,0.00,14.85
1782846898,213982155,40,2,2,0,0.00,10.20
1782846899,213989076,48,0,0,0,0.00,9.47
1782846900,214005997,47,1,0,0,0.00,8.42
1782846901,214164917,33,1,0,0,0.00,19.80
1782846902,214337837,38,1,1,0,0.00,17.17
1782846903,214165758,30,0,0,0,0.10,9.90
1782846904,213993680,57,0,0,0,0.00,12.50
1782846905,214003600,50,0,1,0,0.00,13.86
1782846906,214008520,67,0,0,0,0.00,11.70
1782846907,214007441,66,1,1,0,0.00,17.17
1782846908,213990361,64,0,0,0,0.00,20.19
1782846909,214008281,76,0,0,0,0.00,17.35
1782846910,213993201,57,0,1,0,0.00,19.23
1782846911,214098121,51,0,0,0,0.00,12.24
1782846912,215096036,70,0,0,0,0.10,12.77
1782846913,213998961,72,0,0,0,0.00,19.80
1782846914,213985881,69,1,1,0,0.00,14.74
1782846915,214008800,53,0,0,0,0.00,14.00
1782846916,213989720,75,1,1,0,0.00,19.00
1782846917,214002640,65,0,0,0,0.00,16.16
1782846918,213986559,66,0,0,0,0.00,16.49
1782846919,213978479,69,0,0,0,0.00,19.42
1782846920,213983398,62,0,0,0,0.00,18.45
1782846921,214001317,56,1,1,0,0.00,13.40
1782846922,213993237,62,0,0,0,0.00,8.70
1782846923,213998156,43,1,2,0,0.00,11.34
1782846924,214000075,50,0,0,0,0.00,11.22
1782846925,214005994,57,0,0,0,0.00,14.29
1782846926,213987913,61,0,0,0,0.00,14.58
1782846927,214008832,35,1,1,0,0.00,8.25
1782846928,214900746,55,0,0,0,0.10,14.14
1782846929,213995670,57,0,0,0,0.00,19.05
1782846930,213989588,53,0,0,0,0.00,11.34
1782846931,214018507,55,0,0,0,0.00,16.67
1782846932,213980426,61,0,0,0,0.00,16.83
1782846933,214014344,62,0,0,0,0.00,16.16
1782846934,214007262,57,0,0,0,0.00,9.68
1782846935,213987181,37,1,1,0,0.00,11.00
1782846936,214039099,45,0,0,0,0.00,11.22
1782846937,214006017,62,0,1,0,0.00,13.40
1782846938,213989935,55,0,0,0,0.00,16.00
1782846939,214012853,69,0,0,0,0.00,18.00
1782846940,214003772,43,0,0,0,0.00,14.71
1782846941,214021689,47,0,0,0,0.00,11.22
1782846942,214705604,62,0,0,0,0.00,15.15
1782846943,213987525,48,0,0,0,0.00,14.71
1782846944,213997443,44,1,1,0,0.00,11.34
1782846945,213988361,50,0,0,0,0.00,9.47
1782846946,213990278,50,0,0,0,0.00,10.42
1782846947,214000196,47,0,0,0,0.00,10.31
1782846948,214017113,51,1,1,0,0.00,11.34
1782846949,214013031,64,0,0,0,0.00,10.64
1782846950,213988948,58,1,1,0,0.00,21.15
1782846951,214016865,39,0,0,0,0.00,11.00
1782846952,214017783,47,1,1,0,0.00,14.71
1782846953,213998700,43,0,0,0,0.00,8.33
1782846954,213990617,44,0,0,0,0.00,13.00
1782846955,213983534,51,0,0,0,0.00,16.50
1782846956,214021451,69,1,1,0,0.00,14.89
1782846957,213981368,55,0,0,0,0.00,15.00
1782846958,214004285,43,0,0,0,0.00,13.00
1782846959,213982202,55,1,0,0,0.00,11.34
1782846960,214012118,44,0,0,0,0.00,11.22
1782846961,213993035,58,0,0,0,0.00,10.75
1782846962,214001952,42,1,3,0,0.00,28.71
1782846963,214009868,27,0,0,0,0.00,8.00
1782846964,214000785,40,0,0,0,0.00,11.00
1782846965,214557698,32,0,0,0,0.10,5.26
1782846966,213981617,42,1,0,0,0.00,12.00
1782846967,214017534,69,0,1,0,0.00,11.83
1782846968,213979450,59,2,2,0,0.00,19.61
1782846969,214338364,64,0,0,0,0.10,12.63
